#ID	組件	合成數	合成數值(%數, 16進制)
0228	30303030	5	02323232
F127	30303030	4	02323232
3A56	30303030	3	02323232
9A60	30303030	2	02323232
FE27	30303030	1	02323232
2F56	30303030	0	02323232
#
0228	30303030	5	022A2C22
F127	30303030	4	02FFFFFF
3A56	30303030	3	022A2C22
9A60	30303030	2	022A2C22
FE27	30303030	1	022A2C22
3056	30303030	0	022A2C22
#
0228	30303030	5	00000000
F127	30303030	4	00000000
3A56	30303030	3	00000000
9A60	30303030	2	00000000
FE27	30303030	1	00000000
3056	30303030	0	00000000
#
0228	30303030	5	022A2C22
F127	30303030	5	022A2C22
3A56	30303030	5	022A2C22
9A60	30303030	0	00000000
FE27	30303030	0	00000000
3056	30303030	0	00000000
#
0228	30303030	5	022A2C22
F127	30300E45	5	022A2C22
3A56	30303030	5	022A2C22
9A60	30303030	0	00000000
FE27	30303030	0	00000000
3056	30303030	0	00000000
#
AB3A	30303030	5	02323232
AB3A	30501020	4	02323232
AB3A	11121314	3	02323232
AB3A	15163536	2	02323232
AB3A	37383940	1	02323232
AB3A	41424344	0	02323232

